E2E:25633 Classify:17654 Shuffle:47 Extract:287 Split:2225 E2E:25633
E2E:25620 Classify:17539 Shuffle:48 Extract:391 Split:2267 E2E:25620
E2E:25602 Classify:17665 Shuffle:48 Extract:255 Split:2178 E2E:25602
E2E:25470 Classify:17345 Shuffle:49 Extract:406 Split:2301 E2E:25470
E2E:25811 Classify:17713 Shuffle:49 Extract:329 Split:2298 E2E:25811
E2E:25657 Classify:17522 Shuffle:84 Extract:291 Split:2270 E2E:25657
E2E:25854 Classify:17619 Shuffle:71 Extract:321 Split:2339 E2E:25854
E2E:27439 Classify:20369 Shuffle:41 Extract:397 Split:2329 E2E:27439
E2E:25871 Classify:17486 Shuffle:44 Extract:379 Split:2636 E2E:25871
E2E:25659 Classify:17389 Shuffle:47 Extract:395 Split:2500 E2E:25659
E2E:26982 Classify:18400 Shuffle:54 Extract:310 Split:2754 E2E:26982
E2E:25820 Classify:19134 Shuffle:44 Extract:309 Split:2428 E2E:25820
E2E:25328 Classify:17402 Shuffle:46 Extract:360 Split:2231 E2E:25328
E2E:26503 Classify:18067 Shuffle:63 Extract:295 Split:2649 E2E:26503
E2E:25703 Classify:17346 Shuffle:48 Extract:591 Split:2585 E2E:25703
E2E:25679 Classify:17389 Shuffle:42 Extract:343 Split:2468 E2E:25679
E2E:25505 Classify:17310 Shuffle:53 Extract:318 Split:2405 E2E:25505
E2E:25395 Classify:17368 Shuffle:53 Extract:293 Split:2290 E2E:25395
E2E:25719 Classify:17529 Shuffle:52 Extract:477 Split:2381 E2E:25719
E2E:25796 Classify:17663 Shuffle:47 Extract:339 Split:2384 E2E:25796
E2E:26271 Classify:17600 Shuffle:50 Extract:329 Split:2900 E2E:26271
E2E:25682 Classify:17599 Shuffle:49 Extract:328 Split:2397 E2E:25682
E2E:25606 Classify:17440 Shuffle:39 Extract:269 Split:2365 E2E:25606
E2E:25378 Classify:17380 Shuffle:36 Extract:311 Split:2260 E2E:25378
E2E:26314 Classify:17943 Shuffle:133 Extract:311 Split:2543 E2E:26314
E2E:27437 Classify:20456 Shuffle:50 Extract:342 Split:2263 E2E:27437
